Category,N_Institutions,Total_Undergrads,Pell_Rate_Median,Loan_Rate_Median,Net_Price_Overall_Median,Net_Price_$0-30k_Median,Net_Price_$30-48k_Median,Net_Price_$48-75k_Median,Net_Price_$75-110k_Median,Net_Price_$110k+_Median
Most competitive,89,518402,0.156,0.214,28466.0,8865.0,8640.0,14569.0,22768.0,49113.0
HC+,37,338710,0.194,0.384,24954.0,15399.0,15828.0,19150.0,25274.0,34644.0
HC,68,677746,0.209,0.391,25810.0,15885.0,15813.0,19998.0,26084.0,33832.0
VC+,55,406952,0.217,0.423,24546.0,17213.0,17633.0,21634.0,25618.0,30372.0
VC,213,1493809,0.263,0.492,21782.0,16002.0,16532.0,19850.0,24263.0,27449.0
C+,70,343767,0.341,0.534,20482.0,16532.0,15933.0,18504.0,22378.0,24844.0
C,574,2894014,0.338,0.532,19602.0,14906.0,15728.0,18494.0,21803.0,23955.0
LC,151,581098,0.413,0.508,15951.0,13318.0,13754.0,16327.0,19263.0,20766.0
NC,62,245181,0.394,0.385,14152.0,11436.0,12166.0,14676.0,17982.0,18996.0
Specialized programs,65,168078,0.284,0.475,34725.0,27585.0,28423.0,33385.0,36080.0,38839.0
No category,4765,6406776,0.445,0.409,15071.0,13965.0,13624.0,14941.0,16925.0,19174.0
