Category,N,Pell_Rate_Median,Pell_Rate_Mean,Pell_N,Loan_Rate_Median,Loan_Rate_Mean,Loan_N,Sticker_Tuition_Median,Net_Revenue_Median,Net_Revenue_N,Avg_Discount_Rate,Avg_Cost_Median,Cost_N,Instr_Spending_Median,Instr_N
Most competitive,89,0.15560000000000002,0.16038720930232556,86,0.2142,0.23692906976744188,86,64334.0,32777.0,89,0.46026873540549057,81588.5,86,32273.0,89
HC+,37,0.1945,0.18402432432432433,37,0.3842,0.3720621621621622,37,51763.0,19875.0,37,0.5303490759753593,66758.0,36,18858.0,37
HC,68,0.2086,0.21205074626865672,67,0.3906,0.4062447761194029,67,50634.0,18903.5,68,0.48513570972999787,63645.0,67,16494.0,68
VC+,55,0.2172,0.2279527272727273,55,0.4232,0.44107636363636354,55,40464.0,15680.0,55,0.5057635175282235,53934.0,55,13479.0,55
VC,213,0.26280000000000003,0.28174150943396226,212,0.49205,0.49143584905660376,212,34188.0,15046.0,212,0.5293202455602891,47091.0,211,12541.0,212
C+,70,0.34135,0.35995285714285713,70,0.5339,0.523097142857143,70,30853.0,12666.0,70,0.5349462111385395,43959.5,70,10818.5,70
C,574,0.33804999999999996,0.3528029616724738,574,0.5318,0.5260104529616724,574,26120.0,11902.0,573,0.4751721494044955,38910.0,572,9751.0,573
LC,151,0.4132,0.43155933333333335,150,0.50785,0.5038666666666667,150,12760.0,9275.0,151,0.33086785009861935,25857.5,146,8616.0,151
NC,62,0.39355,0.39841774193548385,62,0.3849,0.38546129032258064,62,9351.0,7046.5,62,0.28280142308363887,21467.5,62,7906.5,62
Specialized programs,65,0.2844,0.3081569230769231,65,0.4751,0.5026030769230769,65,39650.0,20687.0,65,0.3500497314501691,55150.0,57,13466.0,65
No category,4765,0.445,0.45707222484648086,4234,0.4092,0.386206518658479,4234,7645.0,9093.0,4233,0.26446540880503144,17222.0,1885,5702.0,4233
